city,latlon
Kelsterbach (Germany),"('50.06166667000000103371348814107477664947509765625', '8.5311111099999994422660165582783520221710205078125')"
"Ooltewah (USA, TN)","('35.0669444400000003270179149694740772247314453125', '-85.081388889999999491919879801571369171142578125')"
"Harper Woods (USA, MI)","('42.43805556000000223093593376688659191131591796875', '-82.9249999999999971578290569595992565155029296875')"
Center (China (Hong Kong)),"('22.300000000000000710542735760100185871124267578125', '114.2000000000000028421709430404007434844970703125')"
Bell Bay (Australia),"('-32.7990410000000025547706172801554203033447265625', '134.20481399999999894134816713631153106689453125')"
"Horsham (USA, PA)","('40.1783333300000009558061719872057437896728515625', '-75.1286111099999942553040455095469951629638671875')"
"Alexandria (USA, MN)","('45.88523332999999837511495570652186870574951171875', '-95.377222219999993058081599883735179901123046875')"
Pontypridd (United Kingdom),"('51.60199999999999675992512493394315242767333984375', '-3.342000000000000081712414612411521375179290771484375')"
Ingatestone (United Kingdom),"('51.6700000000000017053025658242404460906982421875', '0.38000000000000000444089209850062616169452667236328125')"
Ekibastuz (Kazakhstan),"('51.6666666699999979073254507966339588165283203125', '75.366666670000000749496393837034702301025390625')"
Cariacica (Brazil),"('-20.263888890000000486679709865711629390716552734375', '-40.4200000000000017053025658242404460906982421875')"
"Pioneer (USA, OH)","('41.6805555600000019467188394628465175628662109375', '-84.5527777799999995522739482112228870391845703125')"
"Newfields (USA, NH)","('43.0369444399999991901495377533137798309326171875', '-70.938333330000006071713869459927082061767578125')"
"Pleasanton (USA, CA)","('37.66250000000000142108547152020037174224853515625', '-121.874722219999995331818354316055774688720703125')"
"Mount Laurel (USA, NJ)","('39.94899199999999694910002290271222591400146484375', '-74.9002469999999931360434857197105884552001953125')"
Mersin (Turkey),"('36.7999999999999971578290569595992565155029296875', '34.633333329999999250503606162965297698974609375')"
Salta (Argentina),"('-24.783333330000001382131813443265855312347412109375', '-65.4166666699999979073254507966339588165283203125')"
"Pineville (USA, LA)","('31.33888888999999977613697410561144351959228515625', '-92.412499999999994315658113919198513031005859375')"
Zuidplas (Netherlands),"('51.96666667000000217058186535723507404327392578125', '4.61666666999999986131797413690946996212005615234375')"
Saint Herblain (France),"('47.21220000000000283080225926823914051055908203125', '-1.6496999999999999442223952428321354091167449951171875')"
Arboga (Sweden),"('59.393888889999999491919879801571369171142578125', '15.8386111100000004370258466224186122417449951171875')"
Larvik (Norway),"('59.08111111000000192916559171862900257110595703125', '10.0163888899999999892997948336414992809295654296875')"
"Lebanon (USA, MO)","('37.6783333300000009558061719872057437896728515625', '-92.6616666700000024547989596612751483917236328125')"
Avellaneda (Argentina),"('-34.6666666699999979073254507966339588165283203125', '-58.366666670000000749496393837034702301025390625')"
Rio Claro (Brazil),"('-22.410833329999999108395059010945260524749755859375', '-47.56083333000000124002326629124581813812255859375')"
"Media (USA, PA)","('39.91888888999999807083440828137099742889404296875', '-75.3880555599999979676795192062854766845703125')"
Albury (Australia),"('-36.08055556000000052563336794264614582061767578125', '146.91583332999999811363522894680500030517578125')"
"Warren (USA, OH)","('41.2383333300000032295429264195263385772705078125', '-80.8144444400000026007546694017946720123291015625')"
"Mission Hills (USA, CA)","('34.68916666999999875997673370875418186187744140625', '-120.4361111099999988027775543741881847381591796875')"
